,Washer_10kg,,,Dryer_14kg,,,Detergent,,,Grand Total,,
Date,Wechat,Coin,Total,Wechat,Coin,Total,Wechat,Coin,Total,Wechat,Coin,Total
"24/12/2018",0,6,6,0,4,4,0,0,0,0,10,10
"25/12/2018",0,133,133,0,64,64,0,30,30,0,227,227
"Total",0,263,263,0,138,138,0,50,50,0,451,451
