,BBB-W1,,,BBB-W2,,,BBB-D1,,,BBB-D2,,,BBB-V1,,,Grand Total,,
Date,Wechat,Coin,Total,Wechat,Coin,Total,Wechat,Coin,Total,Wechat,Coin,Total,Wechat,Coin,Total,Wechat,Coin,Total
"24/12/2018",0,0,0,0,6,6,0,0,0,0,4,4,0,0,0,0,10,10
"25/12/2018",0,62,62,0,71,71,0,26.5,26.5,0,37.5,37.5,0,30,30,0,227,227
"Total",0,154,154,0,109,109,0,53.5,53.5,0,84.5,84.5,0,50,50,0,451,451
